doi,cr_title,cr_container_title,cr_short_container_title,cr_volume,cr_issue,cr_page,cr_year
10.1021/ja052347d,Chiral Oligomers by Iterative Tandem Catalysis,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,28,9964-9965,2005
10.1021/ja0527166,A Molecular Beacon Approach to Measuring the DNA Permeability of Thin Films,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,28,10014-10015,2005
10.1029/2005gl023370,Sensitivity of global-scale climate change attribution results to inclusion of fossil fuel black carbon aerosol,Geophysical Research Letters,Geophys. Res. Lett.,32,14,n/a-n/a,2005
10.1038/ng1608,A stress-sensitive reporter predicts longevity in isogenic populations of Caenorhabditis elegans,Nature Genetics,Nat Genet,37,8,894-898,2005
10.1029/2004gc000892,Weak mixing in Lake Kivu: New insights indicate increasing risk of uncontrolled gas eruption,"Geochemistry, Geophysics, Geosystems",Geochem. Geophys. Geosyst.,6,7,n/a-n/a,2005
10.1021/la050186l,Formation of Polysulfone Colloids for Adsorption of Natural Organic Foulants,Langmuir,Langmuir,21,16,7207-7213,2005
10.1002/anie.200501841,"Stable Cyclic (Alkyl)(Amino)Carbenes as Rigid or Flexible, Bulky, Electron-Rich Ligands for Transition-Metal Catalysts: A Quaternary Carbon Atom Makes the Difference",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,35,5705-5709,2005
10.1021/ja052645a,Hierarchical Organization of Photoresponsive Hydrogen-Bonded Rosettes,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,31,11134-11139,2005
10.1021/ja052599e,A Chemical Model for Redox Regulation of Protein Tyrosine Phosphatase 1B (PTP1B) Activity,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,31,10830-10831,2005
10.1021/ja051865l,Tunable Command Layers for Liquid Crystal Alignment,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,31,11047-11052,2005
10.1021/ja0525399,The Burden Borne by Urease,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,31,10828-10829,2005
10.1021/ja052862b,Facile Conversion of Alcohols into Esters and Dihydrogen Catalyzed by New Ruthenium Complexes,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,31,10840-10841,2005
10.1074/jbc.m506479200,Protein Complexes of theEscherichia coliCell Envelope,Journal of Biological Chemistry,J. Biol. Chem.,280,41,34409-34419,2005
10.1021/jp0531309,Tetrahedral Distortion and Energetic Packing Penalty in “Zeolite” Frameworks:  Linked Phenomena?,The Journal of Physical Chemistry B,J. Phys. Chem. B,109,31,14783-14785,2005
10.1038/sj.emboj.7600767,Liposome reconstitution of a minimal protein-mediated membrane fusion machine,The EMBO Journal,EMBO J,24,17,2980-2988,2005
10.1038/ni1235,Immune evasion by a staphylococcal complement inhibitor that acts on C3 convertases,Nature Immunology,Nat Immunol,6,9,920-927,2005
10.1172/jci25614,Schoenheimer effect explained - feedback regulation of cholesterol synthesis in mice mediated by Insig proteins,Journal of Clinical Investigation,Journal of Clinical Investigation,115,9,2489-2498,2005
10.1021/ac0505167,Rapidly Prototyped Three-Dimensional Nanofluidic Channel Networks in Glass Substrates,Analytical Chemistry,Anal. Chem.,77,16,5083-5088,2005
10.1029/2005gl023390,"The first South Atlantic hurricane: Unprecedented blocking, low shear and climate change",Geophysical Research Letters,Geophys. Res. Lett.,32,15,NA,2005
10.1021/ma0501287,Ring-Opening Metathesis Polymerization of Functionalized Low-Strain Monomers with Ruthenium-Based Catalysts,Macromolecules,Macromolecules,38,17,7214-7218,2005
10.1021/ja052214s,Reactions of SF6with Organotitanium and Organozirconium Complexes:  The “Inert” SF6as a Reactive Fluorinating Agent,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,34,11924-11925,2005
10.1038/ni1243,"IPS-1, an adaptor triggering RIG-I- and Mda5-mediated type I interferon induction",Nature Immunology,Nat Immunol,6,10,981-988,2005
10.1073/pnas.0505313102,From The Cover: Probing the structure of a rotaxane with two-dimensional infrared spectroscopy,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,102,38,13378-13382,2005
10.1021/ja053881o,Magnetically Recoverable Chiral Catalysts Immobilized on Magnetite Nanoparticles for Asymmetric Hydrogenation of Aromatic Ketones,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,36,12486-12487,2005
10.1021/ja050831a,Enantioselective Reduction of Imines Catalyzed by a Rhenium(V)−Oxo Complex,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,36,12462-12463,2005
10.1016/j.molcel.2005.08.014,VISA Is an Adapter Protein Required for Virus-Triggered IFN-β Signaling,Molecular Cell,Molecular Cell,19,6,727-740,2005
10.1002/jcp.20499,Long term metabolic arrest and recovery of HEK293 spheroids involves NF-κB signaling and sustained JNK activation,Journal of Cellular Physiology,J. Cell. Physiol.,206,2,526-536,2005
10.1016/j.jmb.2005.08.060,Cryo-electron Microscopy of the Giant Mimivirus,Journal of Molecular Biology,Journal of Molecular Biology,353,3,493-496,2005
10.1021/nl050981j,Microdisplacement Printing,Nano Letters,Nano Lett.,5,9,1834-1837,2005
10.1021/nl051389x,Large-Size Liftable Inverted-Nanobowl Sheets as Reusable Masks for Nanolithiography,Nano Letters,Nano Lett.,5,9,1784-1788,2005
10.1098/rspb.2005.3182,"Assessing putative interlocus sexual conflict in
            Drosophila melanogaster
            using experimental evolution",Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,272,1576,2029-2035,2005
10.1021/jp0539425,Quantitative Mass Spectrometric Identification of Isomers Applying Coherent Laser Control,The Journal of Physical Chemistry A,J. Phys. Chem. A,109,38,8447-8450,2005
10.1038/ncb1307,The extracellular matrix guides the orientation of the cell division axis,Nature Cell Biology,Nat Cell Biol,7,10,947-953,2005
10.1098/rspb.2005.3226,Gene transfer from a parasitic flowering plant to a fern,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,272,1578,2237-2242,2005
10.1073/pnas.0507250102,From The Cover: Long-term renewal of hair follicles from clonogenic multipotent stem cells,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,102,41,14677-14682,2005
doi.org/10.1103/physrevlett.95.154501,Refraction of Water Waves by Periodic Cylinder Arrays,Physical Review Letters,Phys. Rev. Lett.,95,15,NA,2005
10.1021/ja054402o,A Peptide Motif Recognizing a Polymer Stereoregularity,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,40,13780-13781,2005
10.1021/nl051345o,"Nanoscale, Phonon-Coupled Calorimetry with Sub-Attojoule/Kelvin Resolution",Nano Letters,Nano Lett.,5,10,1968-1971,2005
10.1021/ja055363j,"Simple Alkenes as Substitutes for Organometallic Reagents:  Nickel-Catalyzed, Intermolecular Coupling of Aldehydes, Silyl Triflates, and Alpha Olefins",Journal of the American Chemical Society,J. Am. Chem. Soc.,127,41,14194-14195,2005
10.1021/ja053463j,Shape-Controlled Synthesis of Manganese Oxide Octahedral Molecular Sieve Three-Dimensional Nanostructures,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,41,14184-14185,2005
10.1021/ja053260v,Revisiting Noncovalent SO2−Amine Chemistry:  An Indicator−Displacement Assay for Colorimetric Detection of SO2,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,41,14126-14127,2005
10.1152/ajpregu.00602.2005,Iris movement mediates vascular apoptosis during rat pupillary membrane regression,"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology","American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",290,3,R819-R825,2005
10.1002/anie.200502343,Cationic Terminal Borylene Complexes: A Synthetic and Mechanistic Investigation of MB Metathesis Chemistry,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,45,7457-7460,2005
10.1073/pnas.0507723102,"Sustainability of irrigated agriculture in the San Joaquin Valley, California",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,102,43,15352-15356,2005
10.1016/j.jmb.2005.09.094,"Interstrand Pairing Patterns in β-Barrel Membrane Proteins: The Positive-outside Rule, Aromatic Rescue, and Strand Registration Prediction",Journal of Molecular Biology,Journal of Molecular Biology,354,4,979-993,2005
10.1021/ja055545d,Enantioselective Organo-Cascade Catalysis,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,43,15051-15053,2005
10.1002/anie.200502049,“Hydrogen-Catalyzed” Dehydrogenation: A Supercritical Conundrum,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,44,46,7588-7591,2005
10.1073/pnas.0504499102,From The Cover: Electrocatalytic hydrogen oxidation by an enzyme at high carbon monoxide or oxygen levels,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,102,47,16951-16954,2005
10.1021/ja054948a,Exogenous Nitrile Substrate Hydroxylation by a New Dicopper-Hydroperoxide Complex,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,44,15360-15361,2005
10.1038/ni1268,Effector and memory CD8+ T cell fate coupled by T-bet and eomesodermin,Nature Immunology,Nat Immunol,6,12,1236-1244,2005
10.1021/ja0555724,Carbon-to-Metal Hydrogen Atom Transfer:  Direct Observation Using Time-Resolved Infrared Spectroscopy,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,45,15684-15685,2005
10.1038/ng1680,Myosin IXB variant increases the risk of celiac disease and points toward a primary intestinal barrier defect,Nature Genetics,Nat Genet,37,12,1341-1344,2005
10.1029/2005gb002471,Landscape-scale modeling of carbon cycling under the impact of soil redistribution: The role of tillage erosion,Global Biogeochemical Cycles,Global Biogeochem. Cycles,19,4,n/a-n/a,2005
10.1021/la052511a,"Harnessing Light to Create Defect-Free, Hierarchically Structured Polymeric Materials",Langmuir,Langmuir,21,24,10912-10915,2005
10.1016/j.jmb.2005.10.076,Environmentally Controlled Invasion of Cancer Cells by Engineered Bacteria,Journal of Molecular Biology,Journal of Molecular Biology,355,4,619-627,2005
10.1021/ol052300x,Design of Hydrogen Bond Catalysts Based on a Modular Oxazoline Template:  Application to an Enantioselective Hetero Diels−Alder Reaction,Organic Letters,Org. Lett.,7,24,5473-5475,2005
10.1111/j.1461-0248.2005.00858.x,Maladaptive changes in multiple traits caused by fishing: impediments to population recovery,Ecology Letters,NA,9,2,142-148,2005
10.1371/journal.pgen.0010082.eor,Differential Susceptibility to Hypertension is due to Selection during the out-of-Africa Expansion,PLoS Genetics,PLoS Genet,preprint,2005,e82,2005
10.1038/sj.emboj.7600900,NF-κB p50 promotes HIV latency through HDAC recruitment and repression of transcriptional initiation,The EMBO Journal,EMBO J,25,1,139-149,2005
10.1073/pnas.0506657102,"Observation and manipulation of subsurface hydride in Pd  and its effect on surface chemical, physical, and electronic properties",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,102,50,17907-17911,2005
10.1002/anie.200502886,Convenient and Efficient Pd-Catalyzed Regioselective Oxyfunctionalization of Terminal Olefins by Using Molecular Oxygen as Sole Reoxidant,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,3,481-485,2005
10.1038/nchembio756,Allosteric control of an ionotropic glutamate receptor with an optical switch,Nature Chemical Biology,Nat Chem Biol,2,1,47-52,2005
10.1021/ja055338d,Cellular Logic with Orthogonal Ribosomes,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,50,17584-17585,2005
10.1021/ja055557z,An Alternative of CdSe Nanocrystal Emitters:  Pure and Tunable Impurity Emissions in ZnSe Nanocrystals,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,50,17586-17587,2005
10.1021/nl051905j,Template-Assisted Growth of Nominally Cubic (100)-Oriented Three-Dimensional Crack-Free Photonic Crystals,Nano Letters,Nano Lett.,5,12,2646-2650,2005
10.1021/ja0565727,A Chiral Luminescent Au16Ring Self-Assembled from Achiral Components,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,51,17994-17995,2005
10.1021/ja056102c,Engineering Pt in Ceria for a Maximum Metal−Support Interaction in Catalysis,Journal of the American Chemical Society,J. Am. Chem. Soc.,127,51,18010-18011,2005
10.1002/anie.200503373,Remarkable Amplification of the Self-Disproportionation of Enantiomers on Achiral-Phase Chromatography Columns,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,5,766-769,2005
10.1029/2005gl024461,Electron tomography of nanoparticle clusters: Implications for atmospheric lifetimes and radiative forcing of soot,Geophysical Research Letters,Geophys. Res. Lett.,32,24,NA,2005
10.1016/j.jmb.2005.12.032,Metal Bridges between the PhoQ Sensor Domain and the Membrane Regulate Transmembrane Signaling,Journal of Molecular Biology,Journal of Molecular Biology,356,5,1193-1206,2005
10.1007/s00425-005-0192-x,Oxalate contributes to the resistance of Gaillardia grandiflora and Lupinus sericeus to a phytotoxin produced by Centaurea maculosa,Planta,Planta,223,4,785-795,2006
10.1007/s00439-005-0103-z,Micro-array analyses decipher exceptional complex familial chromosomal rearrangement,Human Genetics,Hum Genet,119,1-2,145-153,2006
10.1021/jp055995s,Electrostatic Stitching in Gel-Phase Supported Phospholipid Bilayers,The Journal of Physical Chemistry B,J. Phys. Chem. B,110,1,33-35,2006
10.1084/jem.20052288,Uptake of Leishmania major by dendritic cells is mediated by Fcγ receptors and facilitates acquisition of protective immunity,Journal of Experimental Medicine,NA,203,1,177-188,2006
10.1021/ja056424g,Heterogeneous Hydrogenation Catalyses over Recyclable Pd(0) Nanoparticle Catalysts Stabilized by PAMAM-SBA-15 Organic−Inorganic Hybrid Composites,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,3,716-717,2006
10.1021/ja056912o,"Twisted,Z-ShapedPerylene Bisimide",Journal of the American Chemical Society,J. Am. Chem. Soc.,128,3,702-703,2006
10.1038/ng1728,Spectrin mutations cause spinocerebellar ataxia type 5,Nature Genetics,Nat Genet,38,2,184-190,2006
10.1021/ja057973p,Ladder Polyether Synthesis via Epoxide-Opening Cascades Using a Disappearing Directing Group,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,4,1056-1057,2006
10.1021/ja055517v,Directed DNA Metallization,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,5,1398-1399,2006
10.1021/jp0554285,Solid-State Modeling of the Terahertz Spectrum of the High Explosive HMX,The Journal of Physical Chemistry A,J. Phys. Chem. A,110,5,1951-1959,2006
10.1029/2005gl024626,Observation of near-podal P′P′ precursors: Evidence for back scattering from the 150–220 km zone in the Earth's upper mantle,Geophysical Research Letters,Geophys. Res. Lett.,33,3,NA,2006
10.1021/ja058380h,Selective Functionalization of Independently Addressed Microelectrodes by Electrochemical Activation and Deactivation of a Coupling Catalyst,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,6,1794-1795,2006
10.1021/nl052170l,Infrared Photodetectors in Heterostructure Nanowires,Nano Letters,Nano Lett.,6,2,229-232,2006
10.1002/anie.200504173,Donor–Acceptor Metallocene Catalysts for the Production of UHMW-PE: Pushing the Selectivity for Chain Growth to Its Limits,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,11,1799-1803,2006
10.1073/pnas.0509842103,Geography and macroeconomics: New data and new findings,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,103,10,3510-3517,2006
10.1021/ja0572912,Total Synthesis and Evaluation of [Ψ[CH2NH]Tpg4]Vancomycin Aglycon:  Reengineering Vancomycin for Duald-Ala-d-Ala andd-Ala-d-Lac Binding,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,9,2885-2892,2006
10.1111/j.1461-0248.2006.00896.x,Biological control agents elevate hantavirus by subsidizing deer mouse populations,Ecology Letters,NA,9,4,443-450,2006
10.1021/ja0576637,A Microfluidic Device for Kinetic Optimization of Protein Crystallization andIn SituStructure Determination,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,10,3142-3143,2006
10.1021/ja058370g,Enantioselective Synthesis of Pentacycloanammoxic Acid,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,10,3118-3119,2006
10.1002/anie.200504312,Polymer-Induced Heteronucleation for the Discovery of New Extended Solids,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,16,2553-2556,2006
10.1086/499378,Evolutionary Response to Selection on Clutch Size in a Long‐Term Study of the Mute Swan,The American Naturalist,The American Naturalist,167,3,453-465,2006
10.1002/anie.200503800,Self-Organization of Oriented Calcium Carbonate/Polymer Composites: Effects of a Matrix Peptide Isolated from the Exoskeleton of a Crayfish,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,18,2876-2879,2006
10.1021/ja058516b,Single-Molecule Force Spectroscopy of Bimolecular Reactions:  System Homology in the Mechanical Activation of Ligand Substitution Reactions,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,12,3886-3887,2006
10.1172/jci21545,Induction of myasthenia by immunization against muscle-specific kinase,Journal of Clinical Investigation,J. Clin. Invest.,116,4,1016-1024,2006
10.1021/ja058105v,Fluorophilicity Switch by Solvation,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,13,4182-4183,2006
10.1038/ng1776,Systematic identification of human mitochondrial disease genes through integrative genomics,Nature Genetics,Nat Genet,38,5,576-582,2006
10.1021/ja058217m,Effect of Pd Nanoparticle Size on the Catalytic Hydrogenation of Allyl Alcohol,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,14,4510-4511,2006
10.1002/anie.200503660,Towards Clean Fuels: Molecular-Level Sulfur Reactivity in Heavy Oils,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,20,3299-3303,2006
10.1038/nm1395,Experimental therapy of African trypanosomiasis with a nanobody-conjugated human trypanolytic factor,Nature Medicine,Nat Med,12,5,580-584,2006
10.1021/ja0583057,The Structure of Liquid Tetrahydrofuran,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,15,5119-5126,2006
10.1021/nl052455y,How to Stabilize Phospholipid Liposomes (Using Nanoparticles),Nano Letters,Nano Lett.,6,4,694-698,2006
10.1021/nl0600833,A General Approach to Binary and Ternary Hybrid Nanocrystals,Nano Letters,Nano Lett.,6,4,875-881,2006
10.1002/anie.200601013,Rational Design of a Well-Defined Soluble Calcium Hydride Complex,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,21,3474-3478,2006
10.1098/rspb.2006.3525,Self-similar patterns of nature: insect diversity at local to global scales,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B,273,1596,1935-1941,2006
10.1083/jcb.200511093,Stress fibers are generated by two distinct actin assembly mechanisms in motile cells,Journal of Cell Biology,NA,173,3,383-394,2006
10.1002/anie.200600110,A Quantum Chemical Study of the Quintuple Bond between Two Chromium Centers in [PhCrCrPh]:trans-Bent versus Linear Geometry,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,23,3804-3807,2006
10.1073/pnas.0602382103,Transferable anticancer innate immunity in spontaneous regression/complete resistance mice,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,103,20,7753-7758,2006
10.1021/bi0524870,Localization of Multidrug Transporter Substrates within Model Membranes†,Biochemistry,Biochemistry,45,19,6203-6211,2006
10.1021/nl052526t,A Single Electron Transistor on an Atomic Force Microscope Probe,Nano Letters,Nano Lett.,6,5,937-941,2006
10.1021/ja060856p,Ferroelectric Metal−Organic Framework with a High Dielectric Constant,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,20,6554-6555,2006
10.1073/pnas.0603082103,Essential role of mda-5 in type I IFN responses to polyriboinosinic:polyribocytidylic acid and encephalomyocarditis picornavirus,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,103,22,8459-8464,2006
10.1021/ja061322r,Three-Dimensional DNA Crystals as Molecular Sieves,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,21,6794-6795,2006
10.1002/anie.200600512,Asymmetric Counteranion-Directed Catalysis,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,25,4193-4195,2006
10.1038/sj.embor.7400702,Subunit architecture of multimeric complexes isolated directly from cells,EMBO reports,EMBO Rep,7,6,605-610,2006
10.1029/2006gl026022,Forest on the edge: Seasonal cloud forest in Oman creates its own ecological niche,Geophysical Research Letters,Geophys. Res. Lett.,33,11,NA,2006
10.1038/ng1810,A mutation creating a potential illegitimate microRNA target site in the myostatin gene affects muscularity in sheep,Nature Genetics,Nat Genet,38,7,813-818,2006
10.1021/ma060266b,Measuring the Modulus of Soft Polymer Networks via a Buckling-Based Metrology,Macromolecules,Macromolecules,39,12,4138-4143,2006
10.1021/nl052513f,Carbon Nanotube Linear Bearing Nanoswitches,Nano Letters,Nano Lett.,6,6,1092-1095,2006
10.1021/ol0608045,Recyclable Self-Assembly-Supported Catalyst for Chelation-Assisted Hydroacylation of an Olefin with a Primary Alcohol,Organic Letters,Org. Lett.,8,14,2937-2940,2006
10.1038/nm1423,Cyclohexanehexol inhibitors of Aβ aggregation prevent and reverse Alzheimer phenotype in a mouse model,Nature Medicine,Nat Med,12,7,801-808,2006
10.1021/ja060888c,Toward Chiral Sum-Frequency Spectroscopy,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,27,8845-8848,2006
10.1016/j.immuni.2006.03.021,A Role for Activation-Induced Cytidine Deaminase in the Host Response against a Transforming Retrovirus,Immunity,Immunity,24,6,779-786,2006
10.1021/ja063027c,Probing a Conjugated Polymer's Transfer of Organization-Dependent Properties from Solutions to Films,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,28,9030-9031,2006
10.1073/pnas.0604232103,Origins and evolution of the recA/RAD51 gene family: Evidence for ancient gene duplication and endosymbiotic gene transfer,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,103,27,10328-10333,2006
10.1021/ja0627444,Nanoscale Metal−Organic Frameworks as Potential Multimodal Contrast Enhancing Agents,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,28,9024-9025,2006
10.1021/ja0630285,Popular Theoretical Methods Predict Benzene and Arenes To Be Nonplanar,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,29,9342-9343,2006
10.1002/anie.200600839,The Heat of Formation of Cyclobutadiene,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,30,4984-4988,2006
10.1038/ng1835,The genetic basis for differences in leaf form between Arabidopsis thaliana and its wild relative Cardamine hirsuta,Nature Genetics,Nat Genet,38,8,942-947,2006
10.1098/rspb.2006.3594,A mixed-mating strategy in a hermaphroditic vertebrate,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,273,1600,2449-2452,2006
10.1021/ja0625733,Reversible Extrusion and Uptake of HCl Molecules by Crystalline Solids Involving Coordination Bond Cleavage and Formation,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,30,9584-9585,2006
10.1105/tpc.106.042937,Analysis of the Petunia TM6 MADS Box Gene Reveals Functional Divergence within the DEF/AP3 Lineage,The Plant Cell,Plant Cell,18,8,1819-1832,2006
10.1038/nbt1226,Combinatorial engineering of intergenic regions in operons tunes expression of multiple genes,Nature Biotechnology,Nat Biotechnol,24,8,1027-1032,2006
10.1021/ja062329b,Supramolecular Catalysis of Unimolecular Rearrangements:  Substrate Scope and Mechanistic Insights,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,31,10240-10252,2006
10.1002/anie.200601490,Site-Selective Derivatization and Remodeling of Erythromycin A by Using Simple Peptide-Based Chiral Catalysts,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,34,5616-5619,2006
10.1093/molbev/msl068,Signatures of Ecological Resource Availability in the Animal and Plant Proteomes,Molecular Biology and Evolution,NA,23,10,1946-1951,2006
10.1021/ja062737f,Cyclic Peptide Helices:  A Hybrid β-Hairpin/β-Helical Supersecondary Structure,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,33,10650-10651,2006
10.1021/nl061211q,Nanoscale Patterning on Insulating Substrates by Critical Energy Electron Beam Lithography,Nano Letters,Nano Lett.,6,9,2021-2025,2006
10.1016/j.cell.2006.05.042,FOXP3 Controls Regulatory T Cell Function through Cooperation with NFAT,Cell,Cell,126,2,375-387,2006
10.1021/ol061262u,Template-Directed Synthesis of Mechanically Interlocked Molecular Bundles Using Dynamic Covalent Chemistry,Organic Letters,Org. Lett.,8,18,3899-3902,2006
10.1021/ja063100z,Spatially Controlled Chemistry Using Remotely Guided Nanoliter Scale Containers,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,35,11336-11337,2006
10.1021/ja064500p,Direct C−H Arylation of (Hetero)arenes with Aryl Iodides via Rhodium Catalysis,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,36,11748-11749,2006
10.1016/j.epsl.2006.06.025,"The 2005, Mw 7.6 Kashmir earthquake: Sub-pixel correlation of ASTER images and seismic waveforms analysis",Earth and Planetary Science Letters,Earth and Planetary Science Letters,249,3-4,514-528,2006
10.1038/ng1867,Unraveling adaptive evolution: how a single point mutation affects the protein coregulation network,Nature Genetics,Nat Genet,38,9,1015-1022,2006
10.1084/jem.20060420,In vivo mature immunological synapses forming SMACs mediate clearance of virally infected astrocytes from the brain,Journal of Experimental Medicine,NA,203,9,2095-2107,2006
10.1021/ja064469r,Generalized Route to Metal Nanoparticles with Liquid Behavior,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,37,12074-12075,2006
10.1002/anie.200602499,Making the True “CP” Ligand,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,45,37,6159-6162,2006
10.1021/bi061294p,Three-Dimensional Structure Determination of a Protein Supercomplex That Oxidizes Methane to Formaldehyde inMethylococcus capsulatus(Bath)†,Biochemistry,Biochemistry,45,39,11905-11914,2006
10.1021/ja064587e,Increasing Molecular Weight Parameters of a Helical Polymer through Polymerization in a Chiral Solvent,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,38,12418-12419,2006
10.1021/ja0640288,Noncovalent Control for Bottom-Up Assembly of Functional Supramolecular Wires,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,39,12602-12603,2006
10.1029/2006gl027270,When Katrina hit California,Geophysical Research Letters,Geophys. Res. Lett.,33,17,NA,2006
10.1038/nbt1244,Genome sequence of the bioplastic-producing “Knallgas” bacterium Ralstonia eutropha H16,Nature Biotechnology,Nat Biotechnol,24,10,1257-1262,2006
10.1371/journal.pgen.0020183.eor,p38 MAPK Regulates Expression of Immune Response Genes and Contributes to Longevity in C. elegans,PLoS Genetics,PLoS Genet,preprint,2006,e183,2006
10.1073/pnas.0603679103,"First-principles, quantum-mechanical simulations of electron solvation by a water cluster",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,103,39,14282-14287,2006
10.1086/507048,Natural Selection onErysimum mediohispanicumFlower Shape: Insights into the Evolution of Zygomorphy,The American Naturalist,The American Naturalist,168,4,531-545,2006
10.1371/journal.pbio.0040324,Food-Web Models Predict Species Abundances in Response to Habitat Change,PLoS Biology,PLoS Biol,4,10,e324,2006
10.1021/ja0619612,Why Are Ionic Liquids Liquid? A Simple Explanation Based on Lattice and Solvation Energies,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,41,13427-13434,2006
10.1098/rsbl.2006.0539,Silent night: adaptive disappearance of a sexual signal in a parasitized population of field crickets,Biology Letters,Biol. Lett.,2,4,521-524,2006
10.1021/ma061165g,Control of Self-Assembly by Charge-Transfer Complexation between C60Fullerene and Electron Donating Units of Block Copolymers,Macromolecules,Macromolecules,39,22,7648-7653,2006
10.1210/en.2006-0915,Effects of Obestatin on Energy Balance and Growth Hormone Secretion in Rodents,Endocrinology,NA,148,1,21-26,2006
10.1021/ja065487b,Nanorings from the Self-Assembly of Amphiphilic Molecular Dumbbells,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,43,14022-14023,2006
10.1021/ja0636690,A Genetically Encoded Infrared Probe,Journal of the American Chemical Society,J. Am. Chem. Soc.,128,43,13984-13985,2006
10.1038/nm1492,Interleukin-10 determines viral clearance or persistence in vivo,Nature Medicine,Nat Med,12,11,1301-1309,2006
10.1038/nmat1757,Phase inversion of particle-stabilized materials from foams to dry water,Nature Materials,Nature Mater,5,11,865-869,2006
